ZINC_ID,Binding Affinity (kcal/mol)
ZINC000000001931,-8.0
ZINC000000001958,-7.7
ZINC000000001968,-8.8
ZINC000000001968,-8.3
ZINC000000001971,-8.3
ZINC000000001971,-8.1
ZINC000000001971,-7.2
ZINC000000001971,-8.2
ZINC000000001979,-6.4
ZINC000000001979,-6.5
ZINC000000001982,-6.7
ZINC000000001982,-6.6
ZINC000000001982,-6.7
ZINC000000001984,-9.5
ZINC000000001984,-9.4
ZINC000000001984,-9.4
ZINC000000001984,-9.4
ZINC000000001984,-9.5
ZINC000000001984,-9.6
ZINC000000002005,-5.1
ZINC000000002005,-5.1
ZINC000000002009,-5.8
ZINC000000002028,-5.1
ZINC000000002041,-7.3
ZINC000000002041,-7.5
ZINC000000002041,-7.5
ZINC000000002041,-7.3
ZINC000000002041,-7.4
ZINC000000002041,-7.4
ZINC000000002042,-9.2
ZINC000000002043,-6.8
ZINC000000002043,-6.8
ZINC000000002043,-6.8
ZINC000000002043,-6.8
ZINC000000002043,-6.8
ZINC000000002055,-6.0
ZINC000000002055,-6.0
ZINC000000002060,-8.0
ZINC000000002060,-8.1
ZINC000000002060,-7.8
ZINC000000002062,-9.4
ZINC000000002062,-9.4
ZINC000000002062,-7.1
ZINC000000002062,-9.4
ZINC000000002092,-7.7
ZINC000000002092,-7.7
ZINC000000002092,-7.8
ZINC000000002092,-8.0
ZINC000000002094,-6.4
ZINC000000002094,-6.9
ZINC000000002094,-7.0
ZINC000000002094,-7.0
ZINC000000002094,-7.0
ZINC000000002094,-6.5
ZINC000000002097,-6.5
ZINC000000002097,-7.0
ZINC000000002097,-6.9
ZINC000000002097,-6.5
ZINC000000002101,-5.9
ZINC000000002105,-7.0
ZINC000000002105,-6.9
ZINC000000002105,-7.5
ZINC000000002105,-6.7
ZINC000000002114,-6.6
ZINC000000002114,-6.8
ZINC000000002114,-7.0
ZINC000000002114,-6.9
ZINC000000002114,-6.8
ZINC000000002114,-6.9
ZINC000000002114,-6.7
ZINC000000002114,-6.3
ZINC000000002114,-7.0
ZINC000000002114,-6.8
ZINC000000002114,-7.0
ZINC000000002151,-5.6
ZINC000000002159,-6.8
ZINC000000002159,-7.5
ZINC000000002176,-6.8
ZINC000000002176,-6.8
ZINC000000002176,-7.0
ZINC000000002176,-7.1
ZINC000000002176,-6.9
ZINC000000002188,-8.9
ZINC000000002188,-9.1
ZINC000000002188,-9.1
ZINC000000002188,-9.1
ZINC000000002188,-9.0
ZINC000000002188,-8.1
ZINC000000002188,-8.2
ZINC000000002191,-8.2
ZINC000000002191,-7.4
ZINC000000002191,-7.9
ZINC000000002191,-8.3
ZINC000000002191,-8.0
ZINC000000002202,-6.0
ZINC000000002212,-9.1
ZINC000000002212,-9.1
ZINC000000002212,-8.8
ZINC000000002212,-7.9
ZINC000000002216,-7.7
ZINC000000002216,-7.7
ZINC000000002216,-7.7
ZINC000000002216,-7.7
ZINC000000002216,-7.6
ZINC000000002216,-7.7
ZINC000000002220,-7.1
ZINC000000002220,-7.8
ZINC000000002226,-8.5
ZINC000000002232,-7.2
ZINC000000002232,-7.1
ZINC000000002235,-5.6
ZINC000000002235,-5.5
ZINC000000002235,-5.2
ZINC000000002264,-7.6
ZINC000000002264,-7.2
ZINC000000002264,-7.2
ZINC000000002264,-7.2
ZINC000000002264,-7.5
ZINC000000002272,-8.9
ZINC000000002272,-9.0
ZINC000000002272,-8.9
ZINC000000002272,-8.8
ZINC000000002273,-6.7
ZINC000000002273,-6.7
ZINC000000002273,-6.7
ZINC000000002276,-6.8
ZINC000000002276,-6.8
ZINC000000002276,-6.6
ZINC000000002276,-6.8
ZINC000000002276,-6.8
ZINC000000002276,-6.8
ZINC000000002279,-8.1
ZINC000000002279,-7.6
ZINC000000002281,-6.7
ZINC000000002281,-6.8
ZINC000000002281,-6.7
ZINC000000002282,-8.3
ZINC000000002282,-8.2
ZINC000000002282,-8.3
ZINC000000002282,-8.3
ZINC000000002283,-6.8
ZINC000000002283,-6.8
ZINC000000002283,-6.7
ZINC000000002299,-8.2
ZINC000000002299,-8.3
ZINC000000002647,-7.3
ZINC000000002647,-7.3
ZINC000000002688,-8.6
ZINC000000002688,-8.3
ZINC000000002688,-9.2
ZINC000000002688,-8.3
ZINC000000002688,-9.0
ZINC000000002688,-8.7
ZINC000000002688,-8.7
ZINC000000002688,-8.4
ZINC000000002688,-8.7
ZINC000000002688,-8.3
ZINC000000003642,-7.1
ZINC000000003642,-7.2
ZINC000000003642,-7.0
ZINC000000003642,-7.2
ZINC000000003642,-6.9
ZINC000000003642,-6.6
ZINC000000003642,-7.1
ZINC000000003642,-7.0
ZINC000000003642,-7.3
ZINC000000003642,-6.7
ZINC000000003742,-8.2
ZINC000000003837,-6.8
ZINC000000003837,-6.8
ZINC000000003837,-6.8
ZINC000000003876,-8.6
ZINC000000003876,-8.7
ZINC000000003876,-8.7
ZINC000000003876,-8.3
ZINC000000003911,-8.4
ZINC000000003911,-8.4
ZINC000000003911,-8.2
ZINC000000003911,-8.5
ZINC000000003911,-8.5
ZINC000000003911,-8.3
ZINC000000003911,-8.4
ZINC000000003911,-8.5
ZINC000000003911,-7.9
ZINC000000004009,-6.7
